Text,WhoSaid,Context,SourceType,SourceKey
"We just used to yell at him, 'For goodness' sake, Freddie, just stand still!' He was all over the place, such energy, but it wasn't done then!",Mike Bersin,"Ibex guitarist, on Freddie's flamboyant early stage moves",AsItBeganBook,we-just-used-to-yell-at-him-for-goodness-sake-freddie-j-mike-bersin
"Most mornings Freddie would be up first. He had a white Fender Telecaster and he would walk around the flat, stepping over the various bodies still trying to get some sleep, strumming and singing the Who's 'Tommy'. He knew every chord and all the words. It was quite a ritual.",Mick 'Miffer' Smith,On Freddie's morning routine in the Ferry Road flat,AsItBeganBook,most-mornings-freddie-would-be-up-first-he-had-a-white-fend-mick-miffer-smith
"I've never seen anyone write songs quite like Freddie. He would start singing and strumming the guitar, and then someone would have to sit by him and write down what he sang. I never once saw him write anything down, someone else always did. It was spontaneous, but it made sense.",Mick 'Miffer' Smith,On Freddie's songwriting process,AsItBeganBook,i-ve-never-seen-anyone-write-songs-quite-like-freddie-he-wo-mick-miffer-smith
"We had a party one night. Tupp made these cakes, with dope in them. I refused to touch them, but everyone else had some. Then at about midnight the police came... We invited them in, and gave them a drink and a couple of these cakes. We all fell about, but they left, not knowing a thing.",Freddie Mercury,Recalling a Liverpool flat party,AsItBeganBook,we-had-a-party-one-night-tupp-made-these-cakes-with-dope-i-freddie-mercury
"I felt like such an outsider when I first joined the band. They had everything worked out. Just before my first gig, Freddie suggested we all camp it up and wear women's clothes. He really wanted to play on it, but it just didn't happen, thank God!",Barry Mitchell,On joining Queen as bassist in 1970,AsItBeganBook,i-felt-like-such-an-outsider-when-i-first-joined-the-band-t-barry-mitchell
"I was getting tired of playing. I wanted to try other things, get what everyone called a 'proper job', and I missed Cornwall. I thought, even then, that this band might one day make it big. But that didn't stop me wanting to get out.",Mike Grose,"Queen's first bassist, on leaving the band",AsItBeganBook,i-was-getting-tired-of-playing-i-wanted-to-try-other-things-mike-grose
"On one occasion they were all there, all the bands, and they were playing so loudly. It was way past midnight. The next day we were thrown out, evicted! But it was such a fun time, we all laughed so much. We were all so thin too, we didn't have very much money, although what we had we all shared.",Helen McConnell,On the shared Sinclair Road flat scene in the Ibex/Smile days,AsItBeganBook,on-one-occasion-they-were-all-there-all-the-bands-and-they-helen-mcconnell
"They were all dressed in black, and the lights were very dim too, so all I could really see were four shadowy figures. They didn't make a lasting impression on me at the time.",John Deacon,"On first seeing Queen play, before he joined the band",AsItBeganBook,they-were-all-dressed-in-black-and-the-lights-were-very-dim-john-deacon
"We thought he was great. We were all so used to each other, and were so over the top, we thought that because he was quiet he would fit in with us without too much upheaval. He was a great bass player too - and the fact that he was a wizard with electronics was definitely a deciding factor!",Roger Taylor,On the band's decision to recruit John Deacon,AsItBeganBook,we-thought-he-was-great-we-were-all-so-used-to-each-other-roger-taylor
"We all sat there, and then this huge pair of tits came on screen. That was it, we were in fits, crying with laughter. We couldn't stop. Eventually, the manager came up and threw us out. That made us giggle all the more as we staggered up the aisle to the exit!",Barry Mitchell,Recalling an ill-advised cinema trip on tour,AsItBeganBook,we-all-sat-there-and-then-this-huge-pair-of-tits-came-on-sc-barry-mitchell
